    Gross domestic product,    Gross national product,    Personal income,    Disposable personal income,    Personal consumption expenditures,        Goods,            Durable goods,            Nondurable goods,        Services,    Gross domestic product,    Gross national product,    Disposable personal income,    Personal consumption expenditures,        Goods,            Durable goods,            Nondurable goods,        Services,"Population (midperiod, thousands)"
28248,28328,22965,20300,18314,6781,2387,4394,11532,37980,38107,26912,24278,7318,1786,5852,17109,264678
28431,28547,23267,20537,18401,6738,2341,4397,11663,38008,38180,27096,24277,7262,1744,5857,17185,265388
28575,28700,23447,20641,18618,6778,2356,4422,11840,38033,38216,27080,24426,7291,1757,5869,17311,266142
28863,28937,23659,20842,18803,6840,2407,4433,11963,38235,38348,27235,24571,7355,1801,5871,17385,267000
29122,29239,23866,20990,18960,6885,2435,4449,12075,38389,38558,27308,24667,7402,1826,5884,17430,267820
29399,29541,24243,21257,19196,6969,2458,4511,12227,38544,38746,27501,24834,7443,1842,5907,17560,268487
29941,30052,24659,21541,19477,7116,2512,4604,12361,39106,39267,27685,25033,7566,1895,5966,17614,269251
30204,30303,24857,21734,19614,7130,2515,4614,12484,39340,39484,27815,25102,7595,1902,5989,17652,270128
30581,30700,25112,21926,19839,7225,2545,4680,12613,39629,39799,27871,25218,7663,1933,6018,17691,270991
30923,31011,25505,22185,20083,7312,2597,4715,12771,39825,39954,28077,25417,7746,1980,6039,17801,271709
31385,31500,25728,22365,20166,7246,2556,4690,12920,40311,40475,28236,25460,7718,1968,6025,17884,272487
31792,31880,26057,22615,20496,7390,2644,4747,13106,40689,40817,28477,25810,7893,2049,6101,18040,273391
32045,32108,26467,22938,20739,7458,2688,4770,13281,40877,40972,28796,26035,7976,2095,6125,18179,274246
32332,32427,26989,23366,20898,7437,2683,4754,13461,41176,41312,29334,26236,8016,2106,6153,18347,274950
32625,32709,27378,23669,21247,7579,2790,4789,13668,41461,41584,29662,26626,8201,2207,6211,18536,275703
33072,33110,27680,23908,21524,7666,2839,4827,13858,41873,41935,29871,26893,8298,2262,6236,18703,276564
33618,33665,27941,24091,21830,7860,2975,4886,13969,42432,42505,30023,27206,8524,2389,6301,18759,277400
